id,university_name,short_name,logo_url,slug,state,city,established_year,university_type,management_type,ugc_approved,aicte_approved,naac_grade,offers_ug,offers_pg,offers_phd,mode_regular,mode_distance,mode_online,program_streams,popular_courses,fees_range,admission_mode,official_website,contact_phone,contact_email,short_description,priority_tag
1,University of Delhi,DU,https://upload.wikimedia.org/wikipedia/en/4/42/Delhi_University_logo.svg,du,Delhi,New Delhi,1922,Public,State,true,true,A+,true,true,true,true,true,true,Engineering;Arts;Commerce;Law;Science,BA;B.Com;B.Sc;B.Tech;L.L.B,10000-20000,Entrance Exam,https://www.du.ac.in,+91-11-2766-2020,info@du.ac.in,"The University of Delhi is one of the premier universities in India.",High
2,IIT Bombay,IITB,https://upload.wikimedia.org/wikipedia/en/e/e5/IIT_Bombay_Logo.svg,iitb,Maharashtra,Mumbai,1958,Public,Institute,true,true,A+,true,true,true,true,true,true,Engineering,BE;MBA;M.Tech;PhD,250000-300000,Entrance Exam,https://www.iitb.ac.in,+91-22-2572-2545,contact@iitb.ac.in,"IIT Bombay is one of the best engineering institutions in India.",High
3,JNU,JNU,https://upload.wikimedia.org/wikipedia/en/d/db/JNU_logo.svg,jnu,Delhi,New Delhi,1969,Public,Central,false,false,A,true,true,true,true,true,true,Arts;Social Sciences;Science,M.A.;M.Sc.;PhD,15000-40000,Entrance Exam,https://www.jnu.ac.in,+91-11-2670-4301,jnu@jnu.ac.in,"Jawaharlal Nehru University is known for its diverse curriculum.",High
4,University of Mumbai,MU,https://upload.wikimedia.org/wikipedia/en/2/2a/UniversityOfMumbai_Seal.svg,mumbai,Maharashtra,Mumbai,1857,Public,State,true,true,A+,true,true,true,true,true,true,Arts;Science;Commerce;Law,BA;B.Com;B.Sc.,20000-50000,Entrance Exam,https://www.mu.ac.in,+91-22-2654-3000,info@mu.ac.in,"The University of Mumbai is one of the oldest universities in India.",Medium
5,University of Calcutta,CAL,https://upload.wikimedia.org/wikipedia/en/4/4c/Logo_of_the_University_of_Calcutta.png,cal,West Bengal,Kolkata,1857,Public,State,true,false,A++,true,true,true,true,true,true,Arts;Science;Commerce,M.A.;M.Sc.;B.Com;B.Sc,15000-25000,Entrance Exam,https://www.caluniv.ac.in,+91-33-2219-8888,info@caluniv.ac.in,"The University of Calcutta is a prestigious university with historical significance.",Medium
6,BHU,BHU,https://upload.wikimedia.org/wikipedia/en/6/6c/Banaras_Hindu_University_Logo.svg,bhu,Uttar Pradesh,Varanasi,1916,Public,Central,true,true,A+,true,true,true,true,true,true,Arts;Management;Science,M.Sc.;M.Com;B.Tech;MBA,00000-40000,Entrance Exam,https://www.bhu.ac.in,+91-542-2368554,info@bhu.ac.in,"Banaras Hindu University is known for its cultural significance.",Medium
7,AMU,AMU,https://upload.wikimedia.org/wikipedia/en/2/2e/Aligarh_Muslim_University_Logo.svg,amu,Uttar Pradesh,Aligarh,1875,Public,Central,true,true,A+,true,true,true,true,true,true,Arts;Science;Law,BA;B.Sc.;PhD,15000-50000,Entrance Exam,https://www.amu.ac.in,+91-571-2700880,info@amu.ac.in,"Aligarh Muslim University is renowned for its academic and cultural contributions.",Medium
8,Pune University,PU,https://upload.wikimedia.org/wikipedia/en/9/9f/Pune_University_Logo.png,pu,Maharashtra,Pune,1949,Public,State,true,true,A+,true,true,true,true,true,true,Arts;Science;Management,M.A.;M.Sc.;BBA,20000-30000,Entrance Exam,https://www.unipune.ac.in,+91-20-2560-1000,info@unipune.ac.in,"Pune University is known for its academic excellence and cultural vibrancy.",Medium
9,Anna University,AUB,https://upload.wikimedia.org/wikipedia/en/8/83/Anna_University_logo.svg,aub,Tamil Nadu,Chennai,1978,Public,State,true,true,A+,true,true,true,true,true,true,Engineering;Management,B.E.;M.B.A.,30000-50000,Entrance Exam,https://www.annauniv.edu,+91-44-2235-1000,info@annauniv.edu,"Anna University is a major hub for engineering studies in India.",Medium
10,Osmania University,OU,https://upload.wikimedia.org/wikipedia/en/2/2c/Osmania_University_logo.svg,ou,Telangana,Hyderabad,1918,Public,State,true,true,A+,true,true,true,true,true,true,Engineering;Arts;Commerce,M.A.;M.Sc.;B.Tech,10000-20000,Entrance Exam,https://www.osmania.ac.in,+91-40-2709-8501,info@osmania.ac.in,"Osmania University is one of the largest universities in India.",Medium
