id,university_name,short_name,logo_url,slug,country,state,city,established_year,university_type,management_type,ugc_approved,aicte_approved,naac_grade,offers_ug,offers_pg,offers_phd,mode_regular,mode_distance,mode_online,program_streams,popular_courses,fees_range,admission_mode,eligibility_ug,eligibility_pg,official_website,contact_phone,contact_email,short_description,priority_tag
51,Delhi University,DU,http://example.com/logo/du.png,delhi-university,India,Delhi,Delhi,1922,Public,State Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Arts|Science|Commerce,BA|BSc|BCom,20000-50000,Entrance|Merit,12th Grade,Graduation,https://www.du.ac.in,+91-11-2700-6900,Premier university in India known for its diverse programs,Top University
52,Jawaharlal Nehru University,JNU,http://example.com/logo/jnu.png,jawaharlal-nehru-university,India,Delhi,Delhi,1969,Public,State,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,Arts|Social Sciences,MPhil|PhD,20000-60000,Entrance,Graduation,Post-graduation,https://www.jnu.ac.in,+91-11-2670-4090,Top university focused on social sciences and humanities,Top University
53,University of Mumbai,Mumbai,http://example.com/logo/mumbai.png,university-of-mumbai,India,Maharashtra,Mumbai,1857,Public,State,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Arts|Commerce|Science,BCom|BSc|BA,15000-45000,Merit,12th Grade,Graduation,https://www.mu.ac.in,+91-22-2654-3000,Oldest university in Mumbai with a variety of courses,Top University
54,Anna University,AnnaU,http://example.com/logo/anna.png,anna-university,India,Tamil Nadu,Chennai,1978,Public,State,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,No,Engineering|Technology,BTech|MTech,30000-80000,Entrance|Merit,12th Grade,Graduation,https://www.annauniv.edu,+91-44-2235-7000,Leading university for engineering and technology,Top University
55,Delhi Technological University,DTU,http://example.com/logo/dtu.png,delhi-technological-university,India,Delhi,Delhi,2009,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Engineering,BTech|MTech,25000-65000,Entrance,12th Grade,Graduation,https://www.dtu.ac.in,+91-11-2787-7100,Renowned engineering institution in Delhi,Top University
56,Rajasthan Technical University,RTU,http://example.com/logo/rtu.png,rajasthan-technical-university,India,Rajasthan,Kota,2006,Public,State,Yes,Yes,B,Yes,Yes,Yes,Yes,No,Yes,Engineering|Management,BTech|MBA,20000-60000,Entrance,12th Grade,Graduation,https://www.rtu.ac.in,+91-744-247-0000,Technical university with multiple affiliated colleges,Top University
57,Visvesvaraya Technological University,Vtu,http://example.com/logo/vtu.png,visvesvaraya-technological-university,India,Karnataka,Belgaum,1998,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,Engineering,BTech|MTech,18000-55000,Entrance,12th Grade,Graduation,https://www.vtu.ac.in,+91-831-240-5500,University known for excellence in engineering education,Top University
58,Osmania University,OU,http://example.com/logo/ou.png,osmania-university,India,Telangana,Hyderabad,1918,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,Yes,No,Arts|Science|Commerce,BSc|MSc|BA|MA,15000-45000,Merit,12th Grade,Graduation,https://www.osmania.ac.in,+91-40-2709-8000,One of the largest universities in India,Top University
59,Andhra University,AU,http://example.com/logo/au.png,andhra-university,India,Andhra Pradesh,Visakhapatnam,1926,Public,State,Yes,Yes,A,Yes,Yes,Yes,Yes,Yes,Yes,Engineering|Arts,BTech|MBA,15000-50000,Entrance,12th Grade,Graduation,https://www.andhrauniversity.edu.in,+91-891-284-4000,Well-known for its academic excellence and research,Top University
60,Banaras Hindu University,BHU,http://example.com/logo/bhu.png,banaras-hindu-university,India,Uttar Pradesh,Varanasi,1916,Public,State,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,Arts|Science|Commerce,BSc|MBA|BA,20000-60000,Entrance|Merit,12th Grade,Graduation,https://www.bhu.ac.in,+91-542-236-8558,Prestigious university with a global reputation,Top University
61,Aligarh Muslim University,AMU,http://example.com/logo/amu.png,aligarh-muslim-university,India,Uttar Pradesh,Aligarh,1920,Public,State,Yes,Yes,A+,Yes,Yes,Yes,Yes,Yes,Yes,Engineering|Arts|Science,BTech|MBA|BSc,20000-60000,Entrance|Merit,12th Grade,Graduation,https://www.amu.ac.in,+91-571-270-0120,Known for its strong focus on research and education,Top University
