id,university_name,short_name,logo_url,slug,country,state,city,established_year,university_type,management_type,ugc_approved,aicte_approved,naac_grade,offers_ug,offers_pg,offers_phd,mode_regular,mode_distance,mode_online,program_streams,popular_courses,fees_range,admission_mode,eligibility_ug,eligibility_pg,official_website,contact_phone,contact_email,short_description,priority_tag
101,Symbiosis International University,SIU,https://someurl.com/logo1.png,symbiosis-international-university,India,Maharashtra,Pune,2002,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Law, Arts","MBA, BBA, B.Tech",50000-150000,Merit-based,12th Pass,Graduation,https://www.siu.edu.in,+91-1234567890,info@siu.edu.in,"Description of SIU",High
102,KIIT University,KIIT,https://someurl.com/logo2.png,kiit-university,India,Odisha,Bhubaneswar,1992,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Law, Arts","B.Tech, MBA",40000-120000,Merit-based,12th Pass,Graduation,https://www.kiit.ac.in,+91-1234567891,info@kiit.ac.in,"Description of KIIT",High
103,Manipal Institute of Technology,MIT,https://someurl.com/logo3.png,manipal-institute-of-technology,India,Karnataka,Manipal,1957,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, M.Tech",30000-110000,Merit-based,12th Pass,Graduation,https://mit.manipal.edu,+91-1234567892,info@manipal.edu,"Description of MIT",High
104,Vellore Institute of Technology,VIT,https://someurl.com/logo4.png,vellore-institute-of-technology,India,Tamil Nadu,Vellore,1984,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Law, Arts","B.Tech, MBA",40000-130000,Merit-based,12th Pass,Graduation,https://www.vit.ac.in,+91-1234567893,info@vit.ac.in,"Description of VIT",High
105,SRM Institute,SRM,https://someurl.com/logo5.png,srm-institute,India,Tamil Nadu,Kattankulathur,1985,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, MBA",25000-100000,Merit-based,12th Pass,Graduation,https://www.srmuniv.ac.in,+91-1234567894,info@srm.ac.in,"Description of SRM",High
106,Christ University,Christ,https://someurl.com/logo6.png,christ-university,India,Karnataka,Bangalore,1969,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Arts, Management, Law","BA, MBA",30000-90000,Merit-based,12th Pass,Graduation,https://www.christuniversity.in,+91-1234567895,info@christuniversity.in,"Description of Christ University",High
107,Jain University,Jain,https://someurl.com/logo7.png,jain-university,India,Karnataka,Bangalore,1990,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Management, Arts, Science","BBA, MBA",35000-95000,Merit-based,12th Pass,Graduation,https://www.jainuniversity.ac.in,+91-1234567896,info@jainuniversity.ac.in,"Description of Jain University",High
108,PES University,PES,https://someurl.com/logo8.png,pes-university,India,Karnataka,Bangalore,1972,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, MBA",30000-100000,Merit-based,12th Pass,Graduation,https://www.pes.edu,+91-1234567897,info@pes.edu,"Description of PES University",High
109,Amity University,Amity,https://someurl.com/logo9.png,amity-university,India,Uttar Pradesh,Noida,2005,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Management, Engineering, Law","BBA, B.Tech",40000-120000,Merit-based,12th Pass,Graduation,https://www.amity.edu,+91-1234567898,info@amity.edu,"Description of Amity University",High
110,Lovely Professional University,LPU,https://someurl.com/logo10.png,lpu,India,Punjab,Jalandhar,2005,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Management, Engineering, Arts","B.Tech, MBA",30000-110000,Merit-based,12th Pass,Graduation,https://www.lpu.in,+91-1234567899,info@lpu.in,"Description of LPU",High
111,Chandigarh University,CUI,https://someurl.com/logo11.png,chandigarh-university,India,Punjab,Gharuan,2012,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, MBA",40000-130000,Merit-based,12th Pass,Graduation,https://www.cuchd.in,+91-1234567800,info@cuchd.in,"Description of CU",High
112,Shiv Nadar University,SNU,https://someurl.com/logo12.png,shiv-nadar-university,India,Uttar Pradesh,Greater Noida,2011,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, M.Tech",30000-140000,Merit-based,12th Pass,Graduation,https://www.snu.edu.in,+91-1234567801,info@snu.edu.in,"Description of SNU",High
113,Ashoka University,Ashoka,https://someurl.com/logo13.png,ashoka-university,India,Haryana,Sonepat,2014,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Liberal Arts","BA, MA",50000-130000,Merit-based,12th Pass,Graduation,https://www.ashoka.edu.in,+91-1234567802,info@ashoka.edu.in,"Description of Ashoka University",High
114,OP Jindal Global University,JGU,https://someurl.com/logo14.png,op-jindal-global-university,India,Haryana,Sonepat,2009,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Law, Business","BA LLB, MBA",60000-140000,Merit-based,12th Pass,Graduation,https://www.jgu.edu.in,+91-1234567803,info@jgu.edu.in,"Description of JGU",High
115,Thapar Institute of Engineering and Technology,Thapar,https://someurl.com/logo15.png,thapar-institute-of-engineering-and-technology,India,Punjab,Patiala,1956,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, M.Tech",30000-120000,Merit-based,12th Pass,Graduation,https://www.thapar.edu,+91-1234567804,info@thapar.edu,"Description of Thapar",High
116,BITS Pilani,BITS,https://someurl.com/logo16.png,birla-institute-of-technology-and-science-pilani,India,Rajasthan,Pilani,1964,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Science","B.Tech, M.Sc",35000-125000,Merit-based,12th Pass,Graduation,https://www.bits-pilani.ac.in,+91-1234567805,info@bits-pilani.ac.in,"Description of BITS",High
117,Nirma University,Nirma,https://someurl.com/logo17.png,nirma-university,India,Gujarat,Ahmedabad,2003,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Management, Engineering","B.Tech, MBA",40000-130000,Merit-based,12th Pass,Graduation,https://www.nirmauni.ac.in,+91-1234567806,info@nirmauni.ac.in,"Description of Nirma",High
118,Sastra University,Sastra,https://someurl.com/logo18.png,sastra-university,India,Tamil Nadu,Tirumalaisamudram,2001,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Arts","B.Tech, B.A",35000-110000,Merit-based,12th Pass,Graduation,https://www.sastra.edu,+91-1234567807,info@sastra.edu,"Description of Sastra",High
119,MIT-ADT,MIT-ADT,https://someurl.com/logo19.png,mit-adt-university,India,Maharashtra,Pune,2015,Private,Private,Yes,Yes,A,No,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, MBA",45000-120000,Merit-based,12th Pass,Graduation,https://mitglobal.edu.in,+91-1234567808,info@mit.edu.in,"Description of MIT-ADT",High
120,IMT Ghaziabad,IMT,https://someurl.com/logo20.png,imt-ghaziabad,India,Uttar Pradesh,Ghaziabad,1980,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Management","MBA",50000-120000,Merit-based,Graduation,NA,https://www.imt.edu,+91-1234567809,info@imt.edu.in,"Description of IMT",High
121,Jamia Hamdard,Jamia,https://someurl.com/logo21.png,amia-hamdard,India,Delhi,New Delhi,1989,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,No,"Medical, Science","MBBS, B.Sc",60000-150000,Merit-based,12th Pass,Graduation,https://www.jamiahamdard.edu,+91-1234567810,info@jamiahamdard.edu,"Description of Jamia",High
122,Graphic Era University,GEU,https://someurl.com/logo22.png,graphic-era-university,India,Uttarakhand,Dehradun,1993,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, MBA",35000-105000,Merit-based,12th Pass,Graduation,https://www.geu.ac.in,+91-1234567811,info@geu.ac.in,"Description of GEU",High
123,DIT University,DIT,https://someurl.com/logo23.png,dit-university,India,Uttarakhand,Dehradun,2013,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,No,No,Yes,"Engineering, Management","B.Tech, MBA",20000-80000,Merit-based,12th Pass,Graduation,https://www.dituniversity.edu.in,+91-1234567812,info@dituniversity.edu.in,"Description of DIT",High
124,Bennett University,Bennett,https://someurl.com/logo24.png,bennett-university,India,Uttar Pradesh,Ghaziabad,2016,Private,Private,Yes,Yes,A,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, MBA",30000-90000,Merit-based,12th Pass,Graduation,https://www.bennett.edu.in,+91-1234567813,info@bennett.edu.in,"Description of Bennett",High
125,Chitkara University,Chitkara,https://someurl.com/logo25.png,chitkara-university,India,Punjab,Rajpura,2010,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management, Arts","B.Tech, MBA",35000-120000,Merit-based,12th Pass,Graduation,https://www.chitkara.edu.in,+91-1234567814,info@chitkara.edu.in,"Description of Chitkara",High
126,NorthCap University,NCU,https://someurl.com/logo26.png,northcap-university,India,Haryana,Gurgaon,1996,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Management","B.Tech, MBA",40000-110000,Merit-based,12th Pass,Graduation,https://www.ncuindia.edu,+91-1234567815,info@ncuindia.edu,"Description of NCU",High
127,Presidency University,PUB,https://someurl.com/logo27.png,presidency-university,India,Karnataka,Bangalore,2013,Private,Private,Yes,Yes,A+,Yes,Yes,Yes,Yes,No,Yes,"Engineering, Science","B.Tech, M.Tech",35000-105000,Merit-based,12th Pass,Graduation,https://presidencyuniversity.in,+91-1234567816,info@presidencyuniversity.in,"Description of PU",High
